stack,cycles,condition,current_density_A_cm2,R_ohm_ohm,R_anode_ct_ohm,R_cathode_ct_ohm,figure
Stack2,0,1,0.3,0.002541847068397737,0.0025594714569500904,0.034047664885736476,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_3.png
Stack2,0,2,0.3,0.0,0.007668099120985688,0.036512108793403955,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack2,0,6,0.3,0.0,0.007192185956940847,0.040570527994068094,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_3.png
Stack2,0,7,0.3,0.0,0.008272642033691324,0.039514417456194384,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_3.png
Stack2,60,1,0.3,0.002742670773802079,0.002590888366390025,0.03407582653729263,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\60Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack2,120,1,0.3,0.0,0.011286971987792042,0.04135046112310873,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\120Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack2,197,1,0.3,0.0012978437569964923,0.004317664923573041,0.03464795702669799,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\197Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack2,303,1,0.3,0.0024707933316420174,0.003044731344258034,0.034836711464353784,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\303Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack2,375,1,0.3,0.0,0.008433388541428865,0.04640338010715667,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\375Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack2,449,1,0.3,0.0,0.01015362608785509,0.04218960009126518,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\449Cycles_condition_1_Real_Ageing_EIS-1-0_3.png
Stack2,449,2,0.3,0.0,0.0063154408489738125,0.03627441981369788,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\449Cycles_condition_2_Real_Ageing_EIS-2-0_3.png
Stack2,449,6,0.3,0.0023609387068273054,0.003138049048789231,0.04483004150843515,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\449Cycles_condition_6_Real_Ageing_EIS-6-0_3.png
Stack2,449,7,0.3,0.0,0.009094172602461002,0.041910869632461586,results\figures\eis_fits\Stack2\Whole_Stack\0.3Acm2\449Cycles_condition_7_Real_Ageing_EIS-7-0_3.png
Stack2,0,1,0.7,0.0,0.014149773937322342,0.04105600554832194,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack2,0,2,0.7,0.0,0.0365293169457615,0.03481852499357688,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack2,0,6,0.7,0.0,0.016992330676639404,0.04158342670637635,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_6_Real_Ageing_EIS-6-0_7.png
Stack2,0,7,0.7,0.0,0.01504725756393726,0.026790366492155066,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_7_Real_Ageing_EIS-7-0_7.png
Stack2,60,1,0.7,0.0,0.01770758384438128,0.038092306384203654,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\60Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack2,120,1,0.7,0.0,0.01301506381177366,0.03835059625335535,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\120Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack2,197,1,0.7,0.0,0.017079230062437906,0.03786559845564451,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\197Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack2,303,1,0.7,0.0,0.009326451032024544,0.03804495909729621,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\303Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack2,375,1,0.7,0.0,0.02662833377626356,0.03885057780579246,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\375Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack2,449,1,0.7,0.0,0.01375983404270305,0.03367102375326111,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\449Cycles_condition_1_Real_Ageing_EIS-1-0_7.png
Stack2,449,2,0.7,0.0,0.014051177717839487,0.03519144408061926,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\449Cycles_condition_2_Real_Ageing_EIS-2-0_7.png
Stack2,449,6,0.7,0.0,0.012147562039292343,0.04833757757110727,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\449Cycles_condition_6_Real_Ageing_EIS-6-0_7.png
Stack2,449,7,0.7,0.0,0.015033905957363576,0.028464892777010413,results\figures\eis_fits\Stack2\Whole_Stack\0.7Acm2\449Cycles_condition_7_Real_Ageing_EIS-7-0_7.png
