stack,sheet_label,condition,current_density_A_cm2,figure,curves
Stack1,Cell 05,7,0.3,results\figures\eis\by_condition\Stack1\Cell_05\condition_7_0.3Acm2.png,2
Stack1,Cell 05,7,0.7,results\figures\eis\by_condition\Stack1\Cell_05\condition_7_0.7Acm2.png,2
Stack1,Cell 05,7,1.0,results\figures\eis\by_condition\Stack1\Cell_05\condition_7_1Acm2.png,1
Stack1,Cell 10,1,0.3,results\figures\eis\by_condition\Stack1\Cell_10\condition_1_0.3Acm2.png,7
Stack1,Cell 10,1,0.7,results\figures\eis\by_condition\Stack1\Cell_10\condition_1_0.7Acm2.png,7
Stack1,Cell 10,1,1.0,results\figures\eis\by_condition\Stack1\Cell_10\condition_1_1Acm2.png,1
Stack1,Cell 10,2,0.3,results\figures\eis\by_condition\Stack1\Cell_10\condition_2_0.3Acm2.png,2
Stack1,Cell 10,2,0.7,results\figures\eis\by_condition\Stack1\Cell_10\condition_2_0.7Acm2.png,3
Stack1,Cell 10,2,1.0,results\figures\eis\by_condition\Stack1\Cell_10\condition_2_1Acm2.png,1
Stack1,Cell 10,3,0.3,results\figures\eis\by_condition\Stack1\Cell_10\condition_3_0.3Acm2.png,2
Stack1,Cell 10,3,0.7,results\figures\eis\by_condition\Stack1\Cell_10\condition_3_0.7Acm2.png,2
Stack1,Cell 10,3B,0.7,results\figures\eis\by_condition\Stack1\Cell_10\condition_3B_0.7Acm2.png,1
Stack1,Cell 10,4,0.3,results\figures\eis\by_condition\Stack1\Cell_10\condition_4_0.3Acm2.png,1
Stack1,Cell 10,4,0.7,results\figures\eis\by_condition\Stack1\Cell_10\condition_4_0.7Acm2.png,1
Stack1,Cell 10,5,0.3,results\figures\eis\by_condition\Stack1\Cell_10\condition_5_0.3Acm2.png,2
Stack1,Cell 10,5,0.7,results\figures\eis\by_condition\Stack1\Cell_10\condition_5_0.7Acm2.png,2
Stack1,Cell 10,6,0.3,results\figures\eis\by_condition\Stack1\Cell_10\condition_6_0.3Acm2.png,2
Stack1,Cell 10,6,0.7,results\figures\eis\by_condition\Stack1\Cell_10\condition_6_0.7Acm2.png,2
Stack1,Cell 10,6,1.0,results\figures\eis\by_condition\Stack1\Cell_10\condition_6_1Acm2.png,1
Stack1,Cell 10,7,0.3,results\figures\eis\by_condition\Stack1\Cell_10\condition_7_0.3Acm2.png,2
Stack1,Cell 10,7,0.7,results\figures\eis\by_condition\Stack1\Cell_10\condition_7_0.7Acm2.png,2
Stack1,Cell 10,7,1.0,results\figures\eis\by_condition\Stack1\Cell_10\condition_7_1Acm2.png,1
Stack1,Cell 15,1,0.3,results\figures\eis\by_condition\Stack1\Cell_15\condition_1_0.3Acm2.png,7
Stack1,Cell 15,1,0.7,results\figures\eis\by_condition\Stack1\Cell_15\condition_1_0.7Acm2.png,7
Stack1,Cell 15,1,1.0,results\figures\eis\by_condition\Stack1\Cell_15\condition_1_1Acm2.png,1
Stack1,Cell 15,2,0.3,results\figures\eis\by_condition\Stack1\Cell_15\condition_2_0.3Acm2.png,2
Stack1,Cell 15,2,0.7,results\figures\eis\by_condition\Stack1\Cell_15\condition_2_0.7Acm2.png,3
Stack1,Cell 15,2,1.0,results\figures\eis\by_condition\Stack1\Cell_15\condition_2_1Acm2.png,1
Stack1,Cell 15,3,0.3,results\figures\eis\by_condition\Stack1\Cell_15\condition_3_0.3Acm2.png,2
Stack1,Cell 15,3,0.7,results\figures\eis\by_condition\Stack1\Cell_15\condition_3_0.7Acm2.png,2
Stack1,Cell 15,3B,0.7,results\figures\eis\by_condition\Stack1\Cell_15\condition_3B_0.7Acm2.png,1
Stack1,Cell 15,4,0.3,results\figures\eis\by_condition\Stack1\Cell_15\condition_4_0.3Acm2.png,1
Stack1,Cell 15,4,0.7,results\figures\eis\by_condition\Stack1\Cell_15\condition_4_0.7Acm2.png,1
Stack1,Cell 15,5,0.3,results\figures\eis\by_condition\Stack1\Cell_15\condition_5_0.3Acm2.png,2
Stack1,Cell 15,5,0.7,results\figures\eis\by_condition\Stack1\Cell_15\condition_5_0.7Acm2.png,2
