stack,sheet_label,condition,current_density_A_cm2,figure,curves
Stack2,Cell 05,2A,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_2A_0.3Acm2.png,1
Stack2,Cell 05,2A,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_2A_0.7Acm2.png,1
Stack2,Cell 05,3,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_3_0.3Acm2.png,1
Stack2,Cell 05,3,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_3_0.7Acm2.png,2
Stack2,Cell 05,3A,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_3A_0.3Acm2.png,1
Stack2,Cell 05,3A,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_3A_0.7Acm2.png,1
Stack2,Cell 05,4,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_4_0.3Acm2.png,1
Stack2,Cell 05,4,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_4_0.7Acm2.png,1
Stack2,Cell 05,5,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_5_0.3Acm2.png,2
Stack2,Cell 05,5,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_5_0.7Acm2.png,2
Stack2,Cell 05,5A,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_5A_0.3Acm2.png,1
Stack2,Cell 05,5A,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_5A_0.7Acm2.png,1
Stack2,Cell 05,6,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_6_0.3Acm2.png,2
Stack2,Cell 05,6,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_6_0.7Acm2.png,2
Stack2,Cell 05,6A,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_6A_0.3Acm2.png,1
Stack2,Cell 05,6A,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_6A_0.7Acm2.png,1
Stack2,Cell 05,7,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_7_0.3Acm2.png,2
Stack2,Cell 05,7,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_7_0.7Acm2.png,2
Stack2,Cell 05,8,0.3,results\figures\eis\by_condition\Stack2\Cell_05\condition_8_0.3Acm2.png,1
Stack2,Cell 05,8,0.7,results\figures\eis\by_condition\Stack2\Cell_05\condition_8_0.7Acm2.png,1
Stack2,Cell 10,1,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_1_0.3Acm2.png,7
Stack2,Cell 10,1,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_1_0.7Acm2.png,7
Stack2,Cell 10,1A,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_1A_0.3Acm2.png,1
Stack2,Cell 10,1A,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_1A_0.7Acm2.png,1
Stack2,Cell 10,2,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_2_0.3Acm2.png,2
Stack2,Cell 10,2,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_2_0.7Acm2.png,2
Stack2,Cell 10,2A,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_2A_0.3Acm2.png,1
Stack2,Cell 10,2A,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_2A_0.7Acm2.png,1
Stack2,Cell 10,3,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_3_0.3Acm2.png,1
Stack2,Cell 10,3,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_3_0.7Acm2.png,2
Stack2,Cell 10,3A,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_3A_0.3Acm2.png,1
Stack2,Cell 10,3A,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_3A_0.7Acm2.png,1
Stack2,Cell 10,4,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_4_0.3Acm2.png,1
Stack2,Cell 10,4,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_4_0.7Acm2.png,1
Stack2,Cell 10,5,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_5_0.3Acm2.png,2
Stack2,Cell 10,5,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_5_0.7Acm2.png,2
Stack2,Cell 10,5A,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_5A_0.3Acm2.png,1
Stack2,Cell 10,5A,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_5A_0.7Acm2.png,1
Stack2,Cell 10,6,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_6_0.3Acm2.png,2
Stack2,Cell 10,6,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_6_0.7Acm2.png,2
Stack2,Cell 10,6A,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_6A_0.3Acm2.png,1
Stack2,Cell 10,6A,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_6A_0.7Acm2.png,1
Stack2,Cell 10,7,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_7_0.3Acm2.png,2
Stack2,Cell 10,7,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_7_0.7Acm2.png,2
Stack2,Cell 10,8,0.3,results\figures\eis\by_condition\Stack2\Cell_10\condition_8_0.3Acm2.png,1
Stack2,Cell 10,8,0.7,results\figures\eis\by_condition\Stack2\Cell_10\condition_8_0.7Acm2.png,1
Stack2,Cell 15,1,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_1_0.3Acm2.png,7
Stack2,Cell 15,1,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_1_0.7Acm2.png,7
Stack2,Cell 15,1A,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_1A_0.3Acm2.png,1
Stack2,Cell 15,1A,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_1A_0.7Acm2.png,1
Stack2,Cell 15,2,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_2_0.3Acm2.png,2
Stack2,Cell 15,2,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_2_0.7Acm2.png,2
Stack2,Cell 15,2A,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_2A_0.3Acm2.png,1
Stack2,Cell 15,2A,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_2A_0.7Acm2.png,1
Stack2,Cell 15,3,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_3_0.3Acm2.png,1
Stack2,Cell 15,3,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_3_0.7Acm2.png,2
Stack2,Cell 15,3A,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_3A_0.3Acm2.png,1
Stack2,Cell 15,3A,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_3A_0.7Acm2.png,1
Stack2,Cell 15,4,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_4_0.3Acm2.png,1
Stack2,Cell 15,4,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_4_0.7Acm2.png,1
Stack2,Cell 15,5,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_5_0.3Acm2.png,2
Stack2,Cell 15,5,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_5_0.7Acm2.png,2
Stack2,Cell 15,5A,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_5A_0.3Acm2.png,1
Stack2,Cell 15,5A,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_5A_0.7Acm2.png,1
Stack2,Cell 15,6,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_6_0.3Acm2.png,2
Stack2,Cell 15,6,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_6_0.7Acm2.png,2
Stack2,Cell 15,6A,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_6A_0.3Acm2.png,1
Stack2,Cell 15,6A,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_6A_0.7Acm2.png,1
Stack2,Cell 15,7,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_7_0.3Acm2.png,2
Stack2,Cell 15,7,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_7_0.7Acm2.png,2
Stack2,Cell 15,8,0.3,results\figures\eis\by_condition\Stack2\Cell_15\condition_8_0.3Acm2.png,1
Stack2,Cell 15,8,0.7,results\figures\eis\by_condition\Stack2\Cell_15\condition_8_0.7Acm2.png,1
Stack2,Cell 20,1,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_1_0.3Acm2.png,7
Stack2,Cell 20,1,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_1_0.7Acm2.png,7
Stack2,Cell 20,1A,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_1A_0.3Acm2.png,1
Stack2,Cell 20,1A,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_1A_0.7Acm2.png,1
Stack2,Cell 20,2,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_2_0.3Acm2.png,2
Stack2,Cell 20,2,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_2_0.7Acm2.png,2
Stack2,Cell 20,2A,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_2A_0.3Acm2.png,1
Stack2,Cell 20,2A,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_2A_0.7Acm2.png,1
Stack2,Cell 20,3,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_3_0.3Acm2.png,1
Stack2,Cell 20,3,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_3_0.7Acm2.png,2
Stack2,Cell 20,3A,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_3A_0.3Acm2.png,1
Stack2,Cell 20,3A,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_3A_0.7Acm2.png,1
Stack2,Cell 20,4,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_4_0.3Acm2.png,1
Stack2,Cell 20,4,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_4_0.7Acm2.png,1
Stack2,Cell 20,5,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_5_0.3Acm2.png,2
Stack2,Cell 20,5,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_5_0.7Acm2.png,2
Stack2,Cell 20,5A,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_5A_0.3Acm2.png,1
Stack2,Cell 20,5A,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_5A_0.7Acm2.png,1
Stack2,Cell 20,6,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_6_0.3Acm2.png,2
Stack2,Cell 20,6,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_6_0.7Acm2.png,2
Stack2,Cell 20,6A,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_6A_0.3Acm2.png,1
Stack2,Cell 20,6A,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_6A_0.7Acm2.png,1
Stack2,Cell 20,7,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_7_0.3Acm2.png,2
Stack2,Cell 20,7,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_7_0.7Acm2.png,2
Stack2,Cell 20,8,0.3,results\figures\eis\by_condition\Stack2\Cell_20\condition_8_0.3Acm2.png,1
Stack2,Cell 20,8,0.7,results\figures\eis\by_condition\Stack2\Cell_20\condition_8_0.7Acm2.png,1
Stack2,Cell 22,1,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_1_0.3Acm2.png,7
Stack2,Cell 22,1,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_1_0.7Acm2.png,7
Stack2,Cell 22,1A,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_1A_0.3Acm2.png,1
Stack2,Cell 22,1A,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_1A_0.7Acm2.png,1
Stack2,Cell 22,2,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_2_0.3Acm2.png,2
Stack2,Cell 22,2,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_2_0.7Acm2.png,2
Stack2,Cell 22,2A,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_2A_0.3Acm2.png,1
Stack2,Cell 22,2A,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_2A_0.7Acm2.png,1
Stack2,Cell 22,3,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_3_0.3Acm2.png,1
Stack2,Cell 22,3,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_3_0.7Acm2.png,2
Stack2,Cell 22,3A,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_3A_0.3Acm2.png,1
Stack2,Cell 22,3A,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_3A_0.7Acm2.png,1
Stack2,Cell 22,4,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_4_0.3Acm2.png,1
Stack2,Cell 22,4,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_4_0.7Acm2.png,1
Stack2,Cell 22,5,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_5_0.3Acm2.png,2
Stack2,Cell 22,5,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_5_0.7Acm2.png,2
Stack2,Cell 22,5A,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_5A_0.3Acm2.png,1
Stack2,Cell 22,5A,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_5A_0.7Acm2.png,1
Stack2,Cell 22,6,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_6_0.3Acm2.png,2
Stack2,Cell 22,6,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_6_0.7Acm2.png,2
Stack2,Cell 22,6A,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_6A_0.3Acm2.png,1
Stack2,Cell 22,6A,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_6A_0.7Acm2.png,1
Stack2,Cell 22,7,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_7_0.3Acm2.png,2
Stack2,Cell 22,7,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_7_0.7Acm2.png,2
Stack2,Cell 22,8,0.3,results\figures\eis\by_condition\Stack2\Cell_22\condition_8_0.3Acm2.png,1
Stack2,Cell 22,8,0.7,results\figures\eis\by_condition\Stack2\Cell_22\condition_8_0.7Acm2.png,1
Stack2,Cell 24,1,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_1_0.3Acm2.png,7
Stack2,Cell 24,1,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_1_0.7Acm2.png,7
Stack2,Cell 24,1A,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_1A_0.3Acm2.png,1
Stack2,Cell 24,1A,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_1A_0.7Acm2.png,1
Stack2,Cell 24,2,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_2_0.3Acm2.png,2
Stack2,Cell 24,2,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_2_0.7Acm2.png,2
Stack2,Cell 24,2A,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_2A_0.3Acm2.png,1
Stack2,Cell 24,2A,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_2A_0.7Acm2.png,1
Stack2,Cell 24,3,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_3_0.3Acm2.png,1
Stack2,Cell 24,3,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_3_0.7Acm2.png,2
Stack2,Cell 24,3A,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_3A_0.3Acm2.png,1
Stack2,Cell 24,3A,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_3A_0.7Acm2.png,1
Stack2,Cell 24,4,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_4_0.3Acm2.png,1
Stack2,Cell 24,4,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_4_0.7Acm2.png,1
Stack2,Cell 24,5,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_5_0.3Acm2.png,2
Stack2,Cell 24,5,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_5_0.7Acm2.png,2
Stack2,Cell 24,5A,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_5A_0.3Acm2.png,1
Stack2,Cell 24,5A,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_5A_0.7Acm2.png,1
Stack2,Cell 24,6,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_6_0.3Acm2.png,2
Stack2,Cell 24,6,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_6_0.7Acm2.png,2
Stack2,Cell 24,6A,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_6A_0.3Acm2.png,1
Stack2,Cell 24,6A,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_6A_0.7Acm2.png,1
Stack2,Cell 24,7,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_7_0.3Acm2.png,2
Stack2,Cell 24,7,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_7_0.7Acm2.png,2
Stack2,Cell 24,8,0.3,results\figures\eis\by_condition\Stack2\Cell_24\condition_8_0.3Acm2.png,1
Stack2,Cell 24,8,0.7,results\figures\eis\by_condition\Stack2\Cell_24\condition_8_0.7Acm2.png,1
Stack2,Whole Stack,1,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_1_0.3Acm2.png,7
Stack2,Whole Stack,1,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_1_0.7Acm2.png,7
Stack2,Whole Stack,1A,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_1A_0.3Acm2.png,1
Stack2,Whole Stack,1A,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_1A_0.7Acm2.png,1
Stack2,Whole Stack,2,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_2_0.3Acm2.png,2
Stack2,Whole Stack,2,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_2_0.7Acm2.png,2
Stack2,Whole Stack,2A,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_2A_0.3Acm2.png,1
Stack2,Whole Stack,2A,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_2A_0.7Acm2.png,1
Stack2,Whole Stack,3,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_3_0.3Acm2.png,1
Stack2,Whole Stack,3,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_3_0.7Acm2.png,2
Stack2,Whole Stack,3A,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_3A_0.3Acm2.png,1
Stack2,Whole Stack,3A,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_3A_0.7Acm2.png,1
Stack2,Whole Stack,4,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_4_0.3Acm2.png,1
Stack2,Whole Stack,4,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_4_0.7Acm2.png,1
Stack2,Whole Stack,5,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_5_0.3Acm2.png,2
Stack2,Whole Stack,5,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_5_0.7Acm2.png,2
Stack2,Whole Stack,5A,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_5A_0.3Acm2.png,1
Stack2,Whole Stack,5A,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_5A_0.7Acm2.png,1
Stack2,Whole Stack,6,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_6_0.3Acm2.png,2
Stack2,Whole Stack,6,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_6_0.7Acm2.png,2
Stack2,Whole Stack,6A,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_6A_0.3Acm2.png,1
Stack2,Whole Stack,6A,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_6A_0.7Acm2.png,1
Stack2,Whole Stack,7,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_7_0.3Acm2.png,2
Stack2,Whole Stack,7,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_7_0.7Acm2.png,2
Stack2,Whole Stack,8,0.3,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_8_0.3Acm2.png,1
Stack2,Whole Stack,8,0.7,results\figures\eis\by_condition\Stack2\Whole_Stack\condition_8_0.7Acm2.png,1
