stack,cycle_label,cycles,condition,current_density_A_cm2,file,sheet,sheet_label,fit_status,split_z_re_ohm,R_ohm_ohm,R_anode_ct_ohm,R_cathode_ct_ohm,R_total_fit_ohm,anode_fit_rmse,cathode_fit_rmse,anode_center_x,anode_center_y,anode_radius,cathode_center_x,cathode_center_y,cathode_radius,figure
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet2,Cell 01,ok,0.00082698,0.0003107764878247857,0.0011309374983966211,0.0015367783249234318,0.002667715823320053,1.459877122233156e-05,2.3102181462930223e-05,0.0008762452370230962,-0.00024230381580250416,0.0006151959407151153,0.001127292618640917,0.0011403231763680438,0.0007683891624617159,results\figures\eis_fits\Stack1\Cell_01\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet3,Cell 03,ok,0.00083855,0.0003282668663338572,0.001096736132151019,0.0014077150788936604,0.0025044512110446795,1.320972524977543e-05,2.3818448612795103e-05,0.0008766349324093667,-0.00022306863582412145,0.0005920026623080582,0.0011393252754680388,0.001064128674077435,0.0007038575394468302,results\figures\eis_fits\Stack1\Cell_03\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet4,Cell 05,ok,0.0010784,0.0003361928944631184,0.0011745073138140659,0.0006908788696542949,0.0018653861834683609,8.933708051009418e-06,1.9614484665358823e-05,0.0009234465513701513,-0.00028148379899687286,0.000651229595955524,0.001317965584627346,3.858436859854731e-05,0.0003475876243968528,results\figures\eis_fits\Stack1\Cell_05\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet5,Cell 10,ok,0.00085551,0.0003279493785932182,0.001398814591839359,0.0014444638843911118,0.0028432784762304707,8.468032067373919e-06,2.278629227049109e-05,0.0010273566745128977,-0.0003862849682688922,0.000798991015153598,0.0011543495410871439,0.001086027541089155,0.0007222319421955559,results\figures\eis_fits\Stack1\Cell_10\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet6,Cell 15,ok,0.00085001,0.0003326406170415469,0.0009664494222391383,0.0013443686952336114,0.0023108181174727495,1.676887814521443e-05,2.0477116198468728e-05,0.000815865328161116,-0.00016674421969738661,0.0005111846596280853,0.0011067016081771192,0.0010327112504762866,0.0006721843476168057,results\figures\eis_fits\Stack1\Cell_15\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet7,Cell 20,ok,0.00042598,0.00033161279243286245,0.00021865524443231063,0.00157048533128513,0.0017891405757174406,1.2171372499757933e-05,2.7017352660091104e-05,0.0004409404146490178,-3.6569069546982746e-06,0.0001093887651814102,0.0011114323671232915,-0.0004952515094080928,0.0009283749789370862,results\figures\eis_fits\Stack1\Cell_20\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet8,Cell 22,ok,0.00045567,0.00032508421062282214,0.0003160848782551262,0.0017235786070485392,0.0020396634853036655,1.5112919488483529e-05,2.771676453949644e-05,0.00048312664975038523,-1.896009574853076e-05,0.00015917568217596224,0.0011396660178282377,-0.0007058069171365034,0.001113931868628679,results\figures\eis_fits\Stack1\Cell_22\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,1,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-1-0_7.xlsx,Sheet9,Cell 24,ok,0.00045948,0.00032366555877490433,0.0002076251007984823,0.0016863266789863397,0.001893951779784822,2.1785704086331314e-05,2.893356821015726e-05,0.0004274781091741455,9.690278000025151e-06,0.0001042638341329953,0.001138363821828364,-0.0006546095237166015,0.001067444633508338,results\figures\eis_fits\Stack1\Cell_24\0.7Acm2\0_AfterBreakIn_condition_1_Real_Ageing_EIS-1-0_7.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet1,Whole Stack,ok,0.01179,0.00045878196091056825,0.005385881764593211,0.033553392385487366,0.038939274150080576,0.00047954719346353326,0.0002135257812267131,0.003151722843207174,0.008095005641058644,0.008531180863416019,0.026123714345274,-0.0046675850173046665,0.017413899191088347,results\figures\eis_fits\Stack1\Whole_Stack\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet2,Cell 01,ok,0.00032761,0.00022252934752131626,0.00010551429949390788,0.001448797755314436,0.0015543120548083438,1.6179327104118872e-05,1.3173700716321868e-05,0.0002752864972682702,-3.2602047708810183e-06,5.28577883057038e-05,0.0010607804489546429,-0.0002298013681006815,0.0007599752645527235,results\figures\eis_fits\Stack1\Cell_01\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
