stack,cycle_label,cycles,file,Cmon_Current (A/cm^2),Cell1 (mV),Cell10 (mV),Cell15 (mV),Cell24 (mV),Minimum_Voltage (mV),Average_Voltage (mV),Maximum_Voltage (mV)
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.0592246153846155,841.481967213115,850.744262295082,852.652459016393,848.816393442623,841.534426229508,849.037704918033,854.459016393443
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.0395051282051282,858.255737704918,866.081967213115,868.826229508197,864.79344262295,858.255737704918,865.259016393442,870.226229508197
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.0189964102564103,884.247619047619,893.133333333333,894.685714285715,891.666666666667,884.228571428571,891.72380952381,896.304761904762
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.00374666666666667,927.833333333333,936.65,938.5,935.866666666667,927.883333333333,935.616666666667,940.35
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.0189964102564103,878.47619047619,886.257142857143,888.371428571429,885.438095238095,878.438095238095,885.319047619048,890.190476190476
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.0395018999579656,850.773770491803,859.285245901639,860.895081967213,857.27868852459,850.698360655738,857.619672131148,862.475409836066
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.0592246153846155,831.967213114754,840.357377049181,842.183606557378,839.062295081967,832.055737704917,839.247540983606,844.354098360656
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.0789441025641025,818.251239669422,826.798347107439,828.398347107439,825.064462809918,818.186776859505,825.378512396694,830.500826446282
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.0987297435897439,806.887603305786,814.940495867769,816.747107438016,813.29090909091,806.922314049588,813.828099173554,818.937190082644
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.199597160415342,768.13223140496,775.705785123967,776.19173553719,772.676033057851,768.125619834711,773.838016528925,778.168595041322
